scope,variable,response,count,percent,denominator
final_analytic_N79,formality_of_use,INFORMALLY (without a prescribed process for carrying out the activity).,45,57.0,79
final_analytic_N79,formality_of_use,FORMALLY (with a prescribed process for carrying out the activity).,34,43.0,79
