question,non_empty_count,percent,denominator
RQ2 other learning/exploring task,18,22.8,79
RQ2 example prompts for Scrum artifacts,19,24.1,79
RQ2 other artifact task,6,7.6,79
RQ2 example prompts for Scrum events,12,15.2,79
RQ2 other event task,7,8.9,79
RQ2 example prompts for other management tasks,9,11.4,79
RQ2 other management task,6,7.6,79
