scope,variable,response,count,percent,denominator
final_analytic_N79,academic_education,Master's degree (Professional or academic),29,36.7,79
final_analytic_N79,academic_education,Undergraduate (completed),18,22.8,79
final_analytic_N79,academic_education,MBA,17,21.5,79
final_analytic_N79,academic_education,Undergraduate (not completed),8,10.1,79
final_analytic_N79,academic_education,Doctorate degree (Professional or academic),4,5.1,79
final_analytic_N79,academic_education,Professional/Regular high school,3,3.8,79
