response,count,percent
Brazil,34,43.0
India,7,8.9
Poland,4,5.1
Italy,3,3.8
United States of America,3,3.8
Germany,3,3.8
France,2,2.5
Spain,2,2.5
Egypt,2,2.5
Ireland,2,2.5
Malaysia,2,2.5
Bolivia,1,1.3
Tunisia,1,1.3
Morocco,1,1.3
United Kingdom,1,1.3
Kosovo,1,1.3
Iraq,1,1.3
Romania,1,1.3
Nepal,1,1.3
Serbia,1,1.3
Chile,1,1.3
Philippines,1,1.3
United Arab Emirates,1,1.3
Algeria,1,1.3
Pakistan,1,1.3
