scope,variable,response,count,percent,denominator
scrum_experienced_N128,academic_education,Master's degree (Professional or academic),47,36.7,128
scrum_experienced_N128,academic_education,Undergraduate (completed),29,22.7,128
scrum_experienced_N128,academic_education,MBA,25,19.5,128
scrum_experienced_N128,academic_education,Undergraduate (not completed),14,10.9,128
scrum_experienced_N128,academic_education,Doctorate degree (Professional or academic),7,5.5,128
scrum_experienced_N128,academic_education,Professional/Regular high school,6,4.7,128
