scope,variable,response,count,percent,denominator
consenting_N158,academic_education,Master's degree (Professional or academic),51,32.3,158
consenting_N158,academic_education,Undergraduate (completed),39,24.7,158
consenting_N158,academic_education,MBA,30,19.0,158
consenting_N158,academic_education,Undergraduate (not completed),23,14.6,158
consenting_N158,academic_education,Doctorate degree (Professional or academic),8,5.1,158
consenting_N158,academic_education,Professional/Regular high school,7,4.4,158
