scope,variable,response,count,percent,denominator
consenting_N158,scrum_knowledge,Qualified - Good conceptual knowledge and practical experience.,67,42.4,158
consenting_N158,scrum_knowledge,Beginner - Knowledge of the main practical aspects.,36,22.8,158
consenting_N158,scrum_knowledge,Proficient - In-depth advanced conceptual understanding and high practical knowledge.,28,17.7,158
consenting_N158,scrum_knowledge,"Novice - Minimum or ""conceptual"" knowledge without relevant practical experience.",18,11.4,158
consenting_N158,scrum_knowledge,Specialist - In-depth conceptual knowledge and deep practical understanding.,9,5.7,158
