scope,variable,response,count,percent,denominator
worked_scrum_N111,scrum_knowledge,Qualified - Good conceptual knowledge and practical experience.,57,51.4,111
worked_scrum_N111,scrum_knowledge,Proficient - In-depth advanced conceptual understanding and high practical knowledge.,26,23.4,111
worked_scrum_N111,scrum_knowledge,Beginner - Knowledge of the main practical aspects.,18,16.2,111
worked_scrum_N111,scrum_knowledge,Specialist - In-depth conceptual knowledge and deep practical understanding.,9,8.1,111
worked_scrum_N111,scrum_knowledge,"Novice - Minimum or ""conceptual"" knowledge without relevant practical experience.",1,0.9,111
