scope,variable,response,count,percent,denominator
worked_scrum_N111,academic_education,Master's degree (Professional or academic),40,36.0,111
worked_scrum_N111,academic_education,Undergraduate (completed),27,24.3,111
worked_scrum_N111,academic_education,MBA,21,18.9,111
worked_scrum_N111,academic_education,Undergraduate (not completed),12,10.8,111
worked_scrum_N111,academic_education,Professional/Regular high school,6,5.4,111
worked_scrum_N111,academic_education,Doctorate degree (Professional or academic),5,4.5,111
